institution,country
"University of California, San Diego",USA
"University of Michigan, Ann Arbor",USA
Hebrew University of Jerusalem,Israel
Northwestern University,USA
Seoul National University,South Korea
University of Wisconsin–Madison,USA
Duke University,USA
"University of California, San Francisco",USA
University of Illinois at Urbana–Champaign,USA
University of Texas at Austin,USA
University College London,United Kingdom
University of Toronto,Canada
University of Washington - Seattle,USA
Rutgers University-New Brunswick,USA
Keio University,Japan
École normale supérieure - Paris,France
École Polytechnique,France
Rockefeller University,USA
Weizmann Institute of Science,Israel
Imperial College London,United Kingdom
Waseda University,Japan
University of Virginia,USA
McGill University,Canada
Osaka University,Japan
Dartmouth College,USA
University of North Carolina at Chapel Hill,USA
"Pennsylvania State University, University Park",USA
"Ohio State University, Columbus",USA
Lomonosov Moscow State University,Russia
"University of Minnesota, Twin Cities",USA
University of Paris-Sud,France
University of Southern California,USA
"Purdue University, West Lafayette",USA
University of Pittsburgh - Pittsburgh Campus,USA
Carnegie Mellon University,USA
Peking University,China
University of Edinburgh,United Kingdom
"University of California, Davis",USA
Washington University in St. Louis,USA
University of Florida,USA
"University of California, Santa Barbara",USA
University of British Columbia,Canada
University of Utah,USA
University of Colorado Boulder,USA
University of Notre Dame,USA
National Taiwan University,Taiwan
University of Texas Southwestern Medical Center,USA
Boston University,USA
Pierre-and-Marie-Curie University,France
University of Manchester,United Kingdom
University of Arizona,USA
Vanderbilt University,USA
Tohoku University,Japan
Karolinska Institute,Sweden
National University of Singapore,Singapore
University of Geneva,Switzerland
"University of Maryland, College Park",USA
University of Rochester,USA
Emory University,USA
University of Copenhagen,Denmark
"University of California, Irvine",USA
Brown University,USA
Ludwig Maximilian University of Munich,Germany
Georgia Institute of Technology,USA
Tufts University,USA
University of Zurich,Switzerland
Tel Aviv University,Israel
Tsinghua University,China
Utrecht University,Netherlands
Ruprecht Karl University of Heidelberg,Germany
King's College London,United Kingdom
Sapienza University of Rome,Italy
Kyushu University,Japan
Swiss Federal Institute of Technology in Lausanne,Switzerland
Katholieke Universiteit Leuven,Belgium
University of Sydney,Australia
Tokyo Institute of Technology,Japan
University of Melbourne,Australia
University of Bonn,Germany
Technical University of Munich,Germany
Royal Institute of Technology,Sweden
Erasmus University Rotterdam,Netherlands
Case Western Reserve University,USA
University of Alberta,Canada
University of Texas MD Anderson Cancer Center,USA
"Texas A&M University, College Station",USA
Arizona State University,USA
Yonsei University,South Korea
Rice University,USA
Technion – Israel Institute of Technology,Israel
University of Helsinki,Finland
University of Oslo,Norway
Michigan State University,USA
Indiana University - Bloomington,USA
University of the Witwatersrand,South Africa
University of Queensland,Australia
Lund University,Sweden
Leiden University,Netherlands
Georgetown University,USA
Aarhus University,Denmark
University of Barcelona,Spain
Baylor College of Medicine,USA
University of Amsterdam,Netherlands
University of Bristol,United Kingdom
Uppsala University,Sweden
University of Iowa,USA
Stony Brook University,USA
University of Groningen,Netherlands
Korea Advanced Institute of Science and Technology (KAIST),South Korea
Radboud University Nijmegen,Netherlands
Korea University,South Korea
University of São Paulo,Brazil
Nagoya University,Japan
University of Colorado Denver,USA
University of Montreal,Canada
Albert Ludwig University of Freiburg,Germany
Ghent University,Belgium
University of Glasgow,United Kingdom
University of Miami,USA
Université libre de Bruxelles,Belgium
Paris Diderot University - Paris 7,France
McMaster University,Canada
University of Birmingham,United Kingdom
University of Texas at Dallas,USA
VU University Amsterdam,Netherlands
Wake Forest University,USA
University of Southampton,United Kingdom
University of Nottingham,United Kingdom
Nanyang Technological University,Singapore
University of New South Wales,Australia
Osaka City University,Japan
University of Leeds,United Kingdom
Western University (The University of Western Ontario),Canada
Kobe University,Japan
University of Basel,Switzerland
University of Hong Kong,Hong Kong
Indiana University-Purdue University Indianapolis,USA
Humboldt University of Berlin,Germany
Free University of Berlin,Germany
University of Tübingen,Germany
Australian National University,Australia
Goethe University Frankfurt,Germany
University of Houston,USA
"University of California, Santa Cruz",USA
University of Alabama at Birmingham,USA
Icahn School of Medicine at Mount Sinai,USA
University of Calgary,Canada
Mines ParisTech,France
University of Gothenburg,Sweden
University of Göttingen,Germany
Monash University,Australia
Southern Methodist University,USA
Yeshiva University,USA
University of South Florida - Tampa,USA
Hanyang University,South Korea
Oregon Health & Science University,USA
University of Strasbourg,France
University of Cincinnati,USA
University of Sheffield,United Kingdom
University of Hamburg,Germany
George Washington University,USA
University of Milan,Italy
Iowa State University,USA
"University of Maryland, Baltimore",USA
University of Padua,Italy
University of New Mexico,USA
Pohang University of Science and Technology,South Korea
Stockholm University,Sweden
Hokkaido University,Japan
Fudan University,China
University of Sussex,United Kingdom
Université catholique de Louvain,Belgium
Wayne State University,USA
University of Massachusetts Medical School,USA
University of Lausanne,Switzerland
Shanghai Jiao Tong University,China
University of Missouri–Columbia,USA
Technical University of Denmark,Denmark
Complutense University of Madrid,Spain
University of Cologne,Germany
"Trinity College, Dublin",Ireland
University of Bern,Switzerland
Chinese University of Hong Kong,Hong Kong
University of Kansas,USA
Sungkyunkwan University,South Korea
University of Vienna,Austria
Zhejiang University,China
University of Georgia,USA
University of Massachusetts Amherst,USA
Cardiff University,United Kingdom
University of Münster,Germany
University of Liverpool,United Kingdom
University of Ottawa,Canada
University of Erlangen-Nuremberg,Germany
Queen Mary University of London,United Kingdom
Karlsruhe Institute of Technology,Germany
Louisiana State University - Baton Rouge,USA
Nanjing University,China
University of Illinois at Chicago,USA
University of Bologna,Italy
University of Manitoba,Canada
Joseph Fourier University,France
"University of California, Riverside",USA
Julius-Maximilian's University of Würzburg,Germany
Aix-Marseille University,France
University of Western Australia,Australia
Laval University,Canada
"University of Tennessee, Knoxville",USA
North Carolina State University,USA
Newcastle University,United Kingdom
Claude Bernard University Lyon 1,France
University of Turin,Italy
University of Kiel,Germany
University of Connecticut,USA
Tulane University,USA
University of Oklahoma - Norman Campus,USA
Brandeis University,USA
Dresden University of Technology,Germany
RWTH Aachen University,Germany
University of Texas Health Science Center at San Antonio,USA
Virginia Commonwealth University,USA
University of Montpellier 2,France
Dalian University of Technology,China
Rensselaer Polytechnic Institute,USA
Paul Sabatier University - Toulouse III,France
Paris Descartes University,France
National Cheng Kung University,Taiwan
University of Delaware,USA
Vrije Universiteit Brussel,Belgium
Johannes Gutenberg University of Mainz,Germany
Maastricht University,Netherlands
University of Düsseldorf,Germany
University of Dundee,United Kingdom
University of Tsukuba,Japan
Autonomous University of Barcelona,Spain
Florida State University,USA
University of Texas at San Antonio,USA
London School of Hygiene & Tropical Medicine,United Kingdom
Lehigh University,USA
University of Kentucky,USA
Thomas Jefferson University,USA
Drexel University,USA
Colorado State University - Fort Collins,USA
University of Leicester,United Kingdom
Durham University,United Kingdom
Oregon State University,USA
University of Florence,Italy
University of Cape Town,South Africa
"University at Buffalo, The State University of New York",USA
University College Dublin,Ireland
University of Science and Technology of China,China
Virginia Polytechnic Institute and State University,USA
University of Naples Federico II,Italy
University of Auckland,New Zealand
University of Texas Health Science Center at Houston,USA
Delft University of Technology,Netherlands
University of Aberdeen,United Kingdom
Queen's University,Canada
University of Lisbon,Portugal
Hiroshima University,Japan
University of Waterloo,Canada
Okayama University,Japan
University of Ulm,Germany
Chulalongkorn University,Thailand
Dalhousie University,Canada
Saint Petersburg State University,Russia
Norwegian University of Science and Technology,Norway
University of Reading,United Kingdom
Wageningen University and Research Centre,Netherlands
Umeå University,Sweden
University of Porto,Portugal
Hong Kong University of Science and Technology,Hong Kong
Sun Yat-sen University,China
Medical College of Wisconsin,USA
City College of New York,USA
Hannover Medical School,Germany
"Washington State University, Pullman",USA
Technical University of Berlin,Germany
University of South Carolina - Columbia,USA
Leipzig University,Germany
University of Stuttgart,Germany
University of Valencia,Spain
Linköping University,Sweden
University of Duisburg-Essen,Germany
Ruhr University Bochum,Germany
University of Bergen,Norway
London School of Economics,United Kingdom
Wesleyan University,USA
University of Pisa,Italy
Autonomous University of Madrid,Spain
Medical University of Vienna,Austria
Stellenbosch University,South Africa
Medical University of South Carolina,USA
Charles University in Prague,Czech Republic
Kyungpook National University,South Korea
"University of Science, Malaysia",Malaysia
University of Liège,Belgium
University of Hull,United Kingdom
Northeastern University,USA
Kansas State University,USA
University of Vermont,USA
Rush University,USA
University of Louisville,USA
University of St Andrews,United Kingdom
University of Warwick,United Kingdom
University of Rome Tor Vergata,Italy
University of Innsbruck,Austria
Darmstadt University of Technology,Germany
Indian Institute of Technology Delhi,India
Federal University of Rio de Janeiro,Brazil
University of Antwerp,Belgium
National and Kapodistrian University of Athens,Greece
Boston College,USA
Vita-Salute San Raffaele University,Italy
Gwangju Institute of Science and Technology,South Korea
University of Nebraska–Lincoln,USA
University of York,United Kingdom
National Autonomous University of Mexico,Mexico
University of Regensburg,Germany
Yokohama National University,Japan
University of Adelaide,Australia
University of Genoa,Italy
Queen's University Belfast,United Kingdom
University of Marburg,Germany
University of Pavia,Italy
"St George's, University of London",United Kingdom
University of Oregon,USA
University of Navarra,Spain
San Diego State University,USA
Nankai University,China
University of East Anglia,United Kingdom
University of Nebraska Medical Center,USA
University of Southern Denmark,Denmark
Eindhoven University of Technology,Netherlands
Xiamen University,China
University of Otago,New Zealand
University of Santiago de Compostela,Spain
University of Exeter,United Kingdom
University of Jena,Germany
University of Perugia,Italy
Justus Liebig University Giessen,Germany
College of William and Mary,USA
Ben-Gurion University of the Negev,Israel
Saint Louis University,USA
Colorado School of Mines,USA
Oklahoma State University–Stillwater,USA
University of Guelph,Canada
University of Trieste,Italy
University of Verona,Italy
"University at Albany, SUNY",USA
Tongji University,China
Eötvös Loránd University,Hungary
University of Alabama - Tuscaloosa,USA
University of Eastern Finland,Finland
Ewha Womans University,South Korea
City University of Hong Kong,Hong Kong
Tokyo Medical and Dental University,Japan
University of Victoria,Canada
University of Buenos Aires,Argentina
University of Texas Medical Branch at Galveston,USA
Kyung Hee University,South Korea
Hong Kong Polytechnic University,Hong Kong
Saarland University,Germany
Scuola Normale Superiore di Pisa,Italy
University of Seville,Spain
Beijing Normal University,China
Chiba University,Japan
University of Ferrara,Italy
University of Bari Aldo Moro,Italy
Polytechnic University of Milan,Italy
Temple University,USA
University of Turku,Finland
Aalto University,Finland
Simon Fraser University,Canada
Tianjin University,China
Chalmers University of Technology,Sweden
Middle East Technical University,Turkey
Cranfield University,United Kingdom
York University,Canada
Xi'an Jiaotong University,China
Chonnam National University,South Korea
University of Central Florida,USA
University of Lorraine,France
University of Bordeaux II,France
University of New Hampshire,USA
Versailles Saint-Quentin-en-Yvelines University,France
Chonbuk National University,South Korea
Kumamoto University,Japan
Huazhong University of Science and Technology,China
Brunel University,United Kingdom
Polytechnic University of Catalonia,Spain
National Chiao Tung University,Taiwan
Southeast University,China
Tokyo University of Science,Japan
Catholic University of the Sacred Heart,Italy
Brigham Young University,USA
Technical University of Madrid,Spain
Nagasaki University,Japan
National Tsing Hua University,Taiwan
University of Warsaw,Poland
King Saud University,Saudi Arabia
University of Bath,United Kingdom
Concordia University,Canada
Georgia Regents University,USA
Niigata University,Japan
University of Oulu,Finland
Pompeu Fabra University,Spain
Vienna University of Technology,Austria
Sogang University,South Korea
Gyeongsang National University,South Korea
University of Tampere,Finland
University of Milan - Bicocca,Italy
University of Bordeaux I,France
Swedish University of Agricultural Sciences,Sweden
George Mason University,USA
Jilin University,China
University of Delhi,India
University of Campinas,Brazil
Wuhan University,China
West Virginia University,USA
Pusan National University,South Korea
University of Mississippi - Oxford Campus,USA
University of Arkansas for Medical Sciences,USA
Miami University,USA
University of Tokushima,Japan
University of Twente,Netherlands
Loyola University Chicago,USA
Ajou University,South Korea
Syracuse University,USA
Lancaster University,United Kingdom
Pontifical Catholic University of Chile,Chile
University of Chile,Chile
Innsbruck Medical University,Austria
University of Granada,Spain
Kanazawa University,Japan
University of Parma,Italy
University of Siena,Italy
Shandong University,China
Technical University of Dortmund,Germany
University of KwaZulu-Natal,South Africa
"University of Nevada, Reno",USA
Yokohama City University,Japan
École normale supérieure de Lyon,France
University College Cork,Ireland
Ohio University,USA
Central South University,China
University of Modena and Reggio Emilia,Italy
New Mexico State University,USA
University of Konstanz,Germany
University of Hawaii at Manoa,USA
University of Nebraska Omaha,USA
Shinshu University,Japan
University of Strathclyde,United Kingdom
Baylor University,USA
Polytechnic University of Valencia,Spain
Harbin Institute of Technology,China
University of Rennes 1,France
University of Arkansas - Fayetteville,USA
Aristotle University of Thessaloniki,Greece
Jagiellonian University,Poland
Texas Tech University (TTU),USA
University of Rostock,Germany
University of Akron,USA
University of Saskatchewan,Canada
Juntendo University,Japan
University of Wyoming,USA
Macquarie University,Australia
University of Canterbury,New Zealand
University of Denver,USA
Illinois Institute of Technology,USA
Creighton University,USA
Bielefeld University,Germany
University of Malaya,Malaysia
University of Ulsan,South Korea
City University London,United Kingdom
Grenoble Institute of Technology,France
Federal University of Minas Gerais,Brazil
University of Hanover,Germany
South China University of Technology,China
University of Surrey,United Kingdom
Otto-von-Guericke University Magdeburg,Germany
Indian Institute of Science,India
Tokyo Metropolitan University,Japan
Bar-Ilan University,Israel
Mississippi State University,USA
"University of Maryland, Baltimore County",USA
University of Wollongong,Australia
Flinders University,Australia
Martin Luther University of Halle-Wittenberg,Germany
Graduate University for Advanced Studies,Japan
Clemson University,USA
University of Brescia,Italy
Georgia State University,USA
Dongguk University,South Korea
University of Fribourg,Switzerland
Sichuan University,China
University of Iceland,Iceland
University of Sherbrooke,Canada
University of Graz,Austria
University of Málaga,Spain
University of Zaragoza,Spain
New York Medical College,USA
SUNY Downstate Medical Center,USA
École Centrale Paris,France
Utah State University,USA
University of Ljubljana,Slovenia
University of Montpellier 1,France
Victoria University of Wellington,New Zealand
East China University of Science and Technology,China
Konkuk University,South Korea
University of Potsdam,Germany
University of the Basque Country,Spain
University of Nice Sophia Antipolis,France
University of Udine,Italy
National Yang-Ming University,Taiwan
Indian Institute of Technology Bombay,India
University of Bayreuth,Germany
University of Wisconsin–Milwaukee,USA
University of Dayton,USA
Nihon University,Japan
Montana State University - Bozeman,USA
"Royal Holloway, University of London",United Kingdom
Tokyo Women's Medical University,Japan
Panjab University,India
Tampere University of Technology,Finland
University of Coimbra,Portugal
University of Newcastle,Australia
Nara Institute of Science and Technology,Japan
Auburn University,USA
University of Bremen,Germany
Mahidol University,Thailand
University of Crete,Greece
Bangor University,United Kingdom
University of Aveiro,Portugal
University of Palermo,Italy
Nagoya City University,Japan
University of Tartu,Estonia
University of Savoy,France
University of Tromsø - The Arctic University of Norway,Norway
University of Missouri–Kansas City,USA
Beihang University,China
American University of Beirut,Lebanon
University of Nantes,France
University of Essex,United Kingdom
University of Zagreb,Croatia
National Central University,Taiwan
University Lille 1: Sciences and Technologies,France
University of Catania,Italy
National Polytechnic Institute of Toulouse,France
Indian Institute of Technology Kanpur,India
Kagoshima University,Japan
Lanzhou University,China
James Cook University,Australia
Shizuoka University,Japan
Indian Institute of Technology Kharagpur,India
Second University of Naples,Italy
Indian Institute of Technology Madras,India
Plymouth University,United Kingdom
International School for Advanced Studies,Italy
Polytechnic University of Turin,Italy
University of Oviedo,Spain
Ehime University,Japan
University of Ioannina,Greece
University of Cagliari,Italy
Tottori University,Japan
Federal University of Rio Grande do Sul,Brazil
Kent State University,USA
University of Los Andes (Colombia),Colombia
Hunan University,China
Tokai University,Japan
LSU Health Sciences Center New Orleans,USA
Southern Illinois University Carbondale,USA
Tata Institute of Fundamental Research,India
Aalborg University,Denmark
Osaka Prefecture University,Japan
Chang Gung University,Taiwan
Northern Illinois University,USA
University of Trento,Italy
Semmelweis University,Hungary
University of Science and Technology Beijing,China
"National University of Ireland, Galway",Ireland
Dankook University,South Korea
Istanbul University,Turkey
Tokyo University of Agriculture and Technology,Japan
University of Montana - Missoula,USA
Queensland University of Technology,Australia
Binghamton University,USA
Université de Namur,Belgium
University of Tasmania,Australia
University of Pretoria,South Africa
Central China Normal University,China
Indian Institute of Technology Roorkee,India
Curtin University,Australia
Deakin University,Australia
Tilburg University,Netherlands
Inha University,South Korea
University of New Orleans,USA
Paris-Est Créteil Val-de-Marne University,France
University of L'Aquila,Italy
Chungnam National University,South Korea
University of Salamanca,Spain
University of Alaska Fairbanks,USA
University of Poitiers,France
Albany Medical College,USA
"Birkbeck, University of London",United Kingdom
Griffith University,Australia
Federal University of São Paulo,Brazil
Carleton University,Canada
Massey University,New Zealand
Catholic University of Korea,South Korea
Open University (UK),United Kingdom
University of Patras,Greece
Universidade Nova de Lisboa,Portugal
Texas A&M Health Science Center,USA
Braunschweig University of Technology,Germany
National Chung Hsing University,Taiwan
La Trobe University,Australia
Missouri University of Science and Technology,USA
University of Idaho,USA
Louisiana Tech University,USA
University of Portsmouth,United Kingdom
University of La Laguna,Spain
Florida International University,USA
Medical University of Graz,Austria
Howard University,USA
University of Hertfordshire,United Kingdom
State University of New York Upstate Medical University,USA
Royal College of Surgeons in Ireland,Ireland
National Technical University of Athens,Greece
University of Windsor,Canada
Rovira i Virgili University,Spain
University of Burgundy,France
Gunma University,Japan
AGH University of Science and Technology,Poland
Gifu University,Japan
Hacettepe University,Turkey
Örebro University,Sweden
Memorial University of Newfoundland,Canada
Kindai University,Japan
University of Rhode Island,USA
University of Alicante,Spain
New Jersey Institute of Technology,USA
Lille 2 University of Health and Law,France
Keele University,United Kingdom
University of Jyväskylä,Finland
Rochester Institute of Technology,USA
Sapporo Medical University,Japan
Banaras Hindu University,India
King Abdullah University of Science and Technology,Saudi Arabia
Northeast Normal University,China
Portland State University,USA
University of Québec at Montreal,Canada
East China Normal University,China
University of Debrecen,Hungary
Loma Linda University,USA
Old Dominion University,USA
University of Insubria,Italy
"University of Nevada, Las Vegas",USA
Hong Kong Baptist University,Hong Kong
University of Minho,Portugal
University of Messina,Italy
University of Texas at Arlington,USA
"University François Rabelais, Tours",France
"UNESP, São Paulo State University",Brazil
Toho University,Japan
Beijing University of Chemical Technology,China
"Rutgers, The State University of New Jersey - Newark",USA
Johannes Kepler University of Linz,Austria
Warsaw University of Technology,Poland
University of Paris 13,France
University of Toyama,Japan
University of Toledo,USA
University of Vigo,Spain
University of Kent,United Kingdom
Jichi Medical University,Japan
Roma Tre University,Italy
Chung Yuan Christian University,Taiwan
University of Haifa,Israel
Åbo Akademi University,Finland
Swansea University,United Kingdom
China Agricultural University,China
Marche Polytechnic University,Italy
"University of Maine, Orono",USA
Heriot-Watt University,United Kingdom
Marquette University,USA
Loughborough University,United Kingdom
Kaiserslautern University of Technology,Germany
Aston University,United Kingdom
University of Girona,Spain
Hasselt University,Belgium
Nanjing University of Science and Technology,China
"University of Natural Resources and Life Sciences, Vienna",Austria
University of Szeged,Hungary
Soochow University (Suzhou),China
University of the Balearic Islands,Spain
Fuzhou University,China
University of Memphis,USA
San Francisco State University,USA
East Carolina University,USA
University of Augsburg,Germany
University of Missouri–St. Louis,USA
Kyoto Prefectural University of Medicine,Japan
Shanghai University,China
University of South Australia,Australia
Liverpool John Moores University,United Kingdom
Graz University of Technology,Austria
Kitasato University,Japan
University of North Carolina at Charlotte,USA
"G. d'Annunzio University, Chieti-Pescara",Italy
University of Cantabria,Spain
Miguel Hernández University of Elche,Spain
Donghua University,China
Comenius University in Bratislava,Slovak Republic
University of Alabama in Huntsville,USA
Mie University,Japan
University of Stirling,United Kingdom
Hunter College,USA
Swinburne University of Technology,Australia
University of Ulster,United Kingdom
University of Évry Val d'Essonne,France
University of Salerno,Italy
National University of La Plata,Argentina
Masaryk University,Czech Republic
Yamaguchi University,Japan
University of Yamanashi,Japan
Showa University,Japan
North Dakota State University - Main Campus,USA
"University of North Texas, Denton",USA
University of Mississippi Medical Center,USA
University of Tehran,Iran
"Paul Valéry University, Montpellier III",France
Wuhan University of Technology,China
University of Hyogo,Japan
The Catholic University of America,USA
University of Neuchâtel,Switzerland
National Polytechnic Institute,Mexico
Jikei University School of Medicine,Japan
University of Valladolid,Spain
University of Calabria,Italy
University of Lübeck,Germany
Kurume University,Japan
Peking Union Medical College,China
Yamagata University,Japan
University of Córdoba (Spain),Spain
University of Mons,Belgium
Saga University,Japan
Clarkson University,USA
University of South Alabama,USA
Inje University,South Korea
University of Caen Lower Normandy,France
University of Castilla–La Mancha,Spain
Czech Technical University in Prague,Czech Republic
Saitama Medical University,Japan
Istanbul Technical University,Turkey
Kaohsiung Medical University,Taiwan
University of Electro-Communications,Japan
Yeungnam University,South Korea
Jawaharlal Nehru Centre for Advanced Scientific Research,India
"Putra University, Malaysia",Malaysia
Institut national des sciences Appliquées de Lyon,France
University of Perpignan Via Domitia,France
University of Miyazaki,Japan
Second Military Medical University,China
Northern Arizona University,USA
École Polytechnique de Montréal,Canada
University of Salento,Italy
Fukuoka University,Japan
Nagoya Institute of Technology,Japan
Ankara University,Turkey
Blaise Pascal University,France
University of Electronic Science and Technology of China,China
National Sun Yat-sen University,Taiwan
University of Rouen,France
Bowling Green State University,USA
Norwegian University of Life Sciences,Norway
University of Picardie Jules Verne,France
Michigan Technological University,USA
University of Concepción,Chile
China Medical University (Taiwan),Taiwan
University of Hohenheim,Germany
Aberystwyth University,United Kingdom
Wilfrid Laurier University,Canada
Cairo University,Egypt
University of Murcia,Spain
"Palacký University, Olomouc",Czech Republic
Taipei Medical University,Taiwan
University of Bradford,United Kingdom
King Fahd University of Petroleum and Minerals,Saudi Arabia
Ege University,Turkey
University of Belgrade,Serbia
"University of Eastern Piedmont Amedeo Avogadro""""",Italy
Budapest University of Technology and Economics,Hungary
University of Salzburg,Austria
University of Massachusetts Lowell,USA
Jaume I University,Spain
Chongqing University,China
Beijing Institute of Technology,China
Manchester Metropolitan University,United Kingdom
Zhengzhou University,China
Dublin City University,Ireland
"National University of Ireland, Maynooth",Ireland
Kangwon National University,South Korea
"Royal Veterinary College, University of London",United Kingdom
Wright State University - Dayton,USA
Capital Medical University,China
University of Brighton,United Kingdom
Sofia University,Bulgaria
University of Regina,Canada
Magna Græcia University of Catanzaro,Italy
Chungbuk National University,South Korea
Kōchi University,Japan
University of New Brunswick,Canada
Sejong University,South Korea
Sharif University of Technology,Iran
Chung-Ang University,South Korea
