national_rank,country
3,Denmark
2,Spain
12,Germany
1,Ireland
7,Switzerland
2,Hong Kong
86,USA
7,South Korea
1,Austria
5,China
87,USA
88,USA
16,United Kingdom
13,Germany
17,United Kingdom
9,Canada
14,Germany
18,United Kingdom
15,Germany
89,USA
6,China
90,USA
4,Italy
10,Canada
8,France
91,USA
16,Germany
9,France
7,Australia
11,Canada
92,USA
93,USA
19,United Kingdom
10,France
5,Italy
17,Germany
94,USA
95,USA
96,USA
97,USA
18,Germany
19,Germany
98,USA
99,USA
11,France
7,China
100,USA
12,France
13,France
2,Taiwan
101,USA
5,Belgium
20,Germany
8,Netherlands
21,Germany
20,United Kingdom
13,Japan
3,Spain
102,USA
103,USA
21,United Kingdom
104,USA
105,USA
106,USA
107,USA
108,USA
22,United Kingdom
23,United Kingdom
109,USA
6,Italy
2,South Africa
110,USA
2,Ireland
8,China
111,USA
7,Italy
1,New Zealand
112,USA
9,Netherlands
24,United Kingdom
12,Canada
1,Portugal
14,Japan
13,Canada
15,Japan
22,Germany
1,Thailand
14,Canada
2,Russia
2,Norway
25,United Kingdom
10,Netherlands
7,Sweden
2,Portugal
3,Hong Kong
9,China
113,USA
114,USA
23,Germany
115,USA
24,Germany
116,USA
25,Germany
26,Germany
4,Spain
8,Sweden
27,Germany
28,Germany
3,Norway
26,United Kingdom
117,USA
8,Italy
5,Spain
2,Austria
3,South Africa
118,USA
1,Czech Republic
8,South Korea
1,Malaysia
6,Belgium
27,United Kingdom
119,USA
120,USA
121,USA
122,USA
123,USA
28,United Kingdom
29,United Kingdom
9,Italy
3,Austria
29,Germany
1,India
2,Brazil
7,Belgium
1,Greece
124,USA
10,Italy
9,South Korea
125,USA
30,United Kingdom
1,Mexico
30,Germany
16,Japan
8,Australia
11,Italy
31,United Kingdom
31,Germany
12,Italy
32,United Kingdom
126,USA
6,Spain
127,USA
10,China
33,United Kingdom
128,USA
4,Denmark
11,Netherlands
11,China
2,New Zealand
7,Spain
34,United Kingdom
32,Germany
13,Italy
33,Germany
129,USA
5,Israel
130,USA
131,USA
132,USA
15,Canada
14,Italy
15,Italy
133,USA
12,China
1,Hungary
134,USA
2,Finland
10,South Korea
4,Hong Kong
17,Japan
16,Canada
1,Argentina
135,USA
11,South Korea
5,Hong Kong
34,Germany
16,Italy
8,Spain
13,China
18,Japan
17,Italy
18,Italy
19,Italy
136,USA
3,Finland
4,Finland
17,Canada
14,China
9,Sweden
1,Turkey
35,United Kingdom
18,Canada
15,China
12,South Korea
137,USA
14,France
15,France
138,USA
16,France
13,South Korea
19,Japan
16,China
36,United Kingdom
9,Spain
3,Taiwan
17,China
20,Japan
20,Italy
139,USA
10,Spain
21,Japan
4,Taiwan
1,Poland
1,Saudi Arabia
37,United Kingdom
19,Canada
140,USA
22,Japan
5,Finland
11,Spain
4,Austria
14,South Korea
15,South Korea
6,Finland
21,Italy
17,France
10,Sweden
141,USA
18,China
2,India
3,Brazil
19,China
142,USA
16,South Korea
143,USA
144,USA
145,USA
23,Japan
12,Netherlands
146,USA
17,South Korea
147,USA
38,United Kingdom
1,Chile
2,Chile
5,Austria
12,Spain
24,Japan
22,Italy
23,Italy
20,China
35,Germany
4,South Africa
148,USA
25,Japan
18,France
3,Ireland
149,USA
21,China
24,Italy
150,USA
36,Germany
151,USA
152,USA
26,Japan
39,United Kingdom
153,USA
13,Spain
22,China
19,France
154,USA
2,Greece
2,Poland
155,USA
37,Germany
156,USA
20,Canada
27,Japan
157,USA
9,Australia
3,New Zealand
158,USA
159,USA
160,USA
38,Germany
2,Malaysia
18,South Korea
40,United Kingdom
20,France
4,Brazil
39,Germany
23,China
41,United Kingdom
40,Germany
3,India
28,Japan
6,Israel
161,USA
162,USA
10,Australia
11,Australia
41,Germany
29,Japan
163,USA
25,Italy
164,USA
19,South Korea
8,Switzerland
24,China
1,Iceland
21,Canada
6,Austria
14,Spain
15,Spain
165,USA
166,USA
21,France
167,USA
1,Slovenia
22,France
4,New Zealand
25,China
20,South Korea
42,Germany
16,Spain
23,France
26,Italy
5,Taiwan
4,India
43,Germany
168,USA
169,USA
30,Japan
170,USA
42,United Kingdom
31,Japan
5,India
7,Finland
3,Portugal
12,Australia
32,Japan
171,USA
44,Germany
2,Thailand
3,Greece
43,United Kingdom
4,Portugal
27,Italy
33,Japan
1,Estonia
24,France
4,Norway
172,USA
26,China
1,Lebanon
25,France
44,United Kingdom
1,Croatia
6,Taiwan
26,France
28,Italy
27,France
6,India
34,Japan
27,China
13,Australia
35,Japan
7,India
29,Italy
8,India
45,United Kingdom
30,Italy
31,Italy
17,Spain
36,Japan
4,Greece
32,Italy
37,Japan
5,Brazil
173,USA
1,Colombia
28,China
38,Japan
174,USA
175,USA
9,India
5,Denmark
39,Japan
7,Taiwan
176,USA
33,Italy
2,Hungary
29,China
4,Ireland
21,South Korea
2,Turkey
40,Japan
177,USA
14,Australia
178,USA
8,Belgium
15,Australia
5,South Africa
30,China
10,India
16,Australia
17,Australia
13,Netherlands
22,South Korea
179,USA
28,France
34,Italy
23,South Korea
18,Spain
180,USA
29,France
181,USA
46,United Kingdom
18,Australia
6,Brazil
22,Canada
5,New Zealand
24,South Korea
47,United Kingdom
5,Greece
5,Portugal
182,USA
45,Germany
8,Taiwan
19,Australia
183,USA
184,USA
185,USA
48,United Kingdom
19,Spain
186,USA
7,Austria
187,USA
49,United Kingdom
188,USA
5,Ireland
6,Greece
23,Canada
20,Spain
30,France
41,Japan
3,Poland
42,Japan
3,Turkey
11,Sweden
24,Canada
43,Japan
189,USA
21,Spain
190,USA
31,France
50,United Kingdom
8,Finland
191,USA
44,Japan
11,India
2,Saudi Arabia
31,China
192,USA
25,Canada
32,China
3,Hungary
193,USA
194,USA
35,Italy
195,USA
6,Hong Kong
6,Portugal
36,Italy
196,USA
32,France
7,Brazil
45,Japan
33,China
197,USA
8,Austria
4,Poland
33,France
46,Japan
198,USA
22,Spain
51,United Kingdom
47,Japan
37,Italy
9,Taiwan
7,Israel
9,Finland
52,United Kingdom
34,China
38,Italy
199,USA
53,United Kingdom
200,USA
54,United Kingdom
46,Germany
55,United Kingdom
23,Spain
9,Belgium
35,China
9,Austria
4,Hungary
36,China
24,Spain
37,China
201,USA
202,USA
203,USA
47,Germany
204,USA
48,Japan
38,China
20,Australia
56,United Kingdom
10,Austria
49,Japan
205,USA
39,Italy
25,Spain
26,Spain
39,China
1,Slovak Republic
206,USA
50,Japan
57,United Kingdom
207,USA
21,Australia
58,United Kingdom
34,France
40,Italy
2,Argentina
2,Czech Republic
51,Japan
52,Japan
53,Japan
208,USA
209,USA
210,USA
1,Iran
35,France
40,China
54,Japan
211,USA
9,Switzerland
2,Mexico
55,Japan
27,Spain
41,Italy
48,Germany
56,Japan
41,China
57,Japan
28,Spain
10,Belgium
58,Japan
212,USA
213,USA
25,South Korea
36,France
29,Spain
3,Czech Republic
59,Japan
4,Turkey
10,Taiwan
60,Japan
26,South Korea
12,India
3,Malaysia
37,France
38,France
61,Japan
42,China
214,USA
26,Canada
42,Italy
62,Japan
63,Japan
5,Turkey
39,France
43,China
11,Taiwan
40,France
215,USA
5,Norway
41,France
216,USA
3,Chile
12,Taiwan
49,Germany
59,United Kingdom
27,Canada
1,Egypt
30,Spain
4,Czech Republic
13,Taiwan
60,United Kingdom
3,Saudi Arabia
6,Turkey
1,Serbia
43,Italy
5,Hungary
11,Austria
217,USA
31,Spain
44,China
45,China
61,United Kingdom
46,China
6,Ireland
7,Ireland
27,South Korea
62,United Kingdom
218,USA
47,China
63,United Kingdom
1,Bulgaria
28,Canada
44,Italy
28,South Korea
64,Japan
29,Canada
29,South Korea
2,Iran
30,South Korea
219,USA
22,Australia
31,South Korea
1,Lithuania
2,Slovenia
65,Japan
45,Italy
48,China
42,France
220,USA
8,Brazil
49,China
221,USA
32,Spain
3,Iran
66,Japan
43,France
9,Brazil
222,USA
30,Canada
14,Taiwan
7,Turkey
15,Taiwan
67,Japan
23,Australia
68,Japan
50,Germany
6,Hungary
69,Japan
223,USA
50,China
24,Australia
224,USA
13,India
70,Japan
51,China
3,Thailand
46,Italy
71,Japan
225,USA
33,Spain
72,Japan
52,China
5,Poland
6,New Zealand
12,Austria
34,Spain
226,USA
53,China
31,Canada
35,Spain
54,China
44,France
73,Japan
45,France
51,Germany
1,Uganda
64,United Kingdom
16,Taiwan
10,Brazil
46,France
55,China
3,Argentina
11,Brazil
17,Taiwan
8,Turkey
2,Colombia
36,Spain
9,Turkey
14,India
32,South Korea
25,Australia
56,China
52,Germany
53,Germany
26,Australia
15,India
57,China
227,USA
6,Poland
37,Spain
3,Russia
58,China
7,Poland
12,Brazil
54,Germany
59,China
8,Poland
228,USA
1,United Arab Emirates
13,Brazil
7,Greece
47,Italy
18,Taiwan
14,Brazil
38,Spain
33,South Korea
60,China
1,Uruguay
10,Turkey
61,China
39,Spain
40,Spain
4,Iran
27,Australia
15,Brazil
62,China
63,China
64,China
8,Ireland
65,China
66,China
67,China
47,France
74,Japan
19,Taiwan
2,Egypt
20,Taiwan
1,Cyprus
9,Poland
68,China
5,Iran
1,Romania
3,Egypt
6,Iran
69,China
48,France
7,Portugal
5,Czech Republic
16,Brazil
4,Egypt
55,Germany
17,Brazil
70,China
229,USA
34,South Korea
4,Chile
32,Canada
71,China
21,Taiwan
72,China
7,Iran
1,Puerto Rico
4,Argentina
49,France
73,China
74,China
75,China
18,Brazil
41,Spain
76,China
77,China
78,China
79,China
22,Taiwan
80,China
81,China
4,Saudi Arabia
8,Iran
23,Taiwan
50,France
24,Taiwan
25,Taiwan
82,China
83,China
84,China
1,USA
2,USA
3,USA
1,United Kingdom
2,United Kingdom
4,USA
5,USA
6,USA
7,USA
8,USA
9,USA
10,USA
1,Japan
11,USA
12,USA
13,USA
2,Japan
14,USA
15,USA
1,Switzerland
16,USA
17,USA
1,Israel
1,South Korea
18,USA
19,USA
3,United Kingdom
20,USA
21,USA
22,USA
23,USA
1,Canada
24,USA
3,Japan
4,United Kingdom
1,France
2,France
4,Japan
2,Israel
25,USA
26,USA
2,Canada
27,USA
28,USA
5,Japan
29,USA
30,USA
31,USA
32,USA
33,USA
34,USA
35,USA
36,USA
37,USA
5,United Kingdom
1,China
1,Taiwan
3,France
1,Russia
38,USA
39,USA
3,Canada
4,France
40,USA
1,Singapore
41,USA
6,United Kingdom
42,USA
43,USA
44,USA
1,Sweden
45,USA
6,Japan
1,Denmark
46,USA
1,Germany
47,USA
2,China
2,Germany
48,USA
49,USA
1,Belgium
50,USA
51,USA
1,Netherlands
3,Israel
2,Netherlands
1,Australia
52,USA
53,USA
2,Switzerland
3,Switzerland
2,Australia
7,United Kingdom
54,USA
4,Switzerland
55,USA
2,South Korea
1,Norway
7,Japan
3,Germany
56,USA
3,Australia
5,France
57,USA
58,USA
4,Canada
3,Netherlands
8,Japan
4,Netherlands
1,Finland
1,Italy
59,USA
5,Netherlands
3,South Korea
1,Spain
2,Sweden
60,USA
2,Belgium
61,USA
62,USA
2,Denmark
8,United Kingdom
3,Sweden
9,Japan
4,Sweden
63,USA
9,United Kingdom
6,Netherlands
4,Australia
6,France
1,Brazil
5,Canada
7,Netherlands
2,Singapore
4,Israel
64,USA
65,USA
66,USA
10,United Kingdom
67,USA
68,USA
69,USA
4,South Korea
5,Australia
70,USA
4,Germany
11,United Kingdom
1,South Africa
6,Canada
7,Canada
12,United Kingdom
5,Germany
71,USA
6,Germany
7,Germany
72,USA
8,Germany
73,USA
5,Switzerland
13,United Kingdom
9,Germany
3,Belgium
74,USA
5,South Korea
75,USA
8,Canada
5,Sweden
2,Italy
1,Hong Kong
76,USA
3,Italy
14,United Kingdom
3,Denmark
77,USA
10,Germany
11,Germany
10,Japan
6,Australia
3,China
78,USA
7,France
79,USA
80,USA
1,Ireland
6,Switzerland
81,USA
8,France
82,USA
83,USA
4,China
6,South Korea
9,Canada
84,USA
5,China
85,USA
12,Germany
86,USA
15,United Kingdom
7,Switzerland
16,United Kingdom
87,USA
88,USA
13,Germany
14,Germany
9,France
10,France
4,Italy
17,United Kingdom
15,Germany
7,South Korea
18,United Kingdom
16,Germany
89,USA
17,Germany
7,Australia
11,France
90,USA
91,USA
2,Hong Kong
5,Italy
10,Canada
1,Austria
12,France
8,Netherlands
2,Taiwan
92,USA
2,Spain
11,Canada
18,Germany
4,Belgium
93,USA
19,Germany
94,USA
20,Germany
13,France
6,Sweden
2,Ireland
6,China
19,United Kingdom
3,Spain
20,United Kingdom
2,Norway
7,China
11,Japan
21,United Kingdom
6,Italy
2,South Africa
95,USA
2,Russia
21,Germany
96,USA
22,United Kingdom
97,USA
9,Netherlands
98,USA
1,Portugal
99,USA
100,USA
101,USA
23,United Kingdom
12,Japan
24,United Kingdom
102,USA
2,Austria
1,New Zealand
103,USA
7,Italy
12,Canada
1,Czech Republic
104,USA
105,USA
106,USA
107,USA
108,USA
10,Netherlands
8,China
22,Germany
25,United Kingdom
5,Belgium
109,USA
110,USA
3,Norway
13,Canada
26,United Kingdom
14,Canada
7,Sweden
23,Germany
111,USA
13,Japan
112,USA
24,Germany
27,United Kingdom
4,Spain
8,Italy
25,Germany
113,USA
114,USA
14,France
115,USA
1,Greece
26,Germany
116,USA
5,Spain
9,China
3,South Africa
8,South Korea
2,Portugal
28,United Kingdom
9,South Korea
1,Thailand
6,Belgium
10,China
117,USA
11,China
27,Germany
9,Italy
28,Germany
3,Hong Kong
14,Japan
7,Belgium
2,Brazil
118,USA
119,USA
29,United Kingdom
120,USA
10,Italy
29,Germany
11,Italy
12,Italy
12,China
121,USA
30,United Kingdom
1,Mexico
8,Australia
31,United Kingdom
15,Canada
6,Spain
122,USA
32,United Kingdom
1,India
13,Italy
33,United Kingdom
14,Italy
30,Germany
31,Germany
3,Austria
11,Netherlands
5,Israel
123,USA
124,USA
16,Canada
125,USA
4,Hong Kong
8,Sweden
4,Denmark
2,New Zealand
32,Germany
126,USA
127,USA
128,USA
17,Canada
7,Spain
129,USA
130,USA
2,Finland
1,Argentina
18,Canada
15,Italy
8,Spain
15,France
33,Germany
5,Hong Kong
34,Germany
9,Spain
1,Chile
16,Italy
131,USA
2,India
132,USA
133,USA
17,Italy
3,Finland
10,South Korea
16,France
3,Taiwan
18,Italy
134,USA
13,China
11,South Korea
14,China
15,Japan
19,Italy
135,USA
4,Austria
15,China
20,Italy
10,Spain
136,USA
16,China
12,South Korea
9,Sweden
137,USA
3,Brazil
34,United Kingdom
3,Russia
4,Taiwan
12,Netherlands
138,USA
17,China
21,Italy
139,USA
18,China
140,USA
19,China
10,Sweden
19,Canada
16,Japan
17,Japan
20,China
4,Finland
13,South Korea
21,China
141,USA
2,Chile
35,United Kingdom
5,Austria
142,USA
143,USA
17,France
11,Spain
22,Italy
14,South Korea
15,South Korea
12,Spain
3,Ireland
144,USA
22,China
23,China
13,Spain
145,USA
5,Finland
24,China
146,USA
147,USA
23,Italy
6,Finland
3,India
9,Australia
35,Germany
1,Poland
16,South Korea
36,United Kingdom
148,USA
20,Canada
24,Italy
18,Japan
1,Hungary
2,Greece
149,USA
1,Iceland
2,Poland
150,USA
36,Germany
19,Japan
151,USA
10,Australia
20,Japan
152,USA
1,Turkey
18,France
37,United Kingdom
21,Japan
22,Japan
19,France
153,USA
25,China
4,South Africa
26,China
154,USA
23,Japan
1,Malaysia
155,USA
14,Spain
15,Spain
24,Japan
37,Germany
156,USA
157,USA
38,Germany
4,India
39,Germany
158,USA
11,Australia
17,South Korea
27,China
40,Germany
2,Malaysia
20,France
25,Italy
25,Japan
21,Canada
26,Italy
1,Slovenia
21,France
38,United Kingdom
3,Portugal
159,USA
160,USA
161,USA
18,South Korea
26,Japan
27,Japan
28,China
3,Greece
162,USA
41,Germany
28,Japan
163,USA
42,Germany
6,Israel
164,USA
12,Australia
29,Japan
39,United Kingdom
4,Brazil
4,Norway
27,Italy
30,Japan
29,China
28,Italy
2,Thailand
3,New Zealand
5,India
43,Germany
44,Germany
1,Estonia
22,Canada
22,France
40,United Kingdom
13,Australia
5,Taiwan
165,USA
6,Taiwan
41,United Kingdom
166,USA
31,Japan
23,France
167,USA
168,USA
1,Croatia
45,Germany
30,China
169,USA
32,Japan
170,USA
4,Portugal
4,Ireland
16,Spain
19,South Korea
29,Italy
24,France
7,Taiwan
8,Taiwan
5,Denmark
171,USA
172,USA
42,United Kingdom
1,Saudi Arabia
30,Italy
173,USA
31,China
8,Switzerland
6,Austria
31,Italy
32,Italy
7,Finland
20,South Korea
14,Australia
25,France
21,South Korea
4,Greece
5,Brazil
7,Austria
174,USA
32,China
43,United Kingdom
4,New Zealand
6,Brazil
175,USA
176,USA
177,USA
23,Canada
44,United Kingdom
15,Australia
6,India
45,United Kingdom
33,Japan
34,Japan
178,USA
7,India
22,South Korea
17,Spain
46,United Kingdom
179,USA
180,USA
181,USA
35,Japan
182,USA
3,Malaysia
24,Canada
5,Portugal
16,Australia
8,India
33,China
183,USA
2,Hungary
26,France
36,Japan
17,Australia
18,Australia
37,Japan
2,Turkey
38,Japan
184,USA
185,USA
34,China
23,South Korea
6,Portugal
33,Italy
47,United Kingdom
48,United Kingdom
27,France
3,Turkey
186,USA
46,Germany
18,Spain
9,India
11,Sweden
35,China
5,Greece
36,China
187,USA
19,Spain
19,Australia
3,Poland
188,USA
39,Japan
6,Hong Kong
189,USA
40,Japan
1,Colombia
34,Italy
28,France
190,USA
191,USA
41,Japan
5,New Zealand
37,China
20,Spain
192,USA
35,Italy
25,Canada
7,Brazil
193,USA
42,Japan
3,Hungary
194,USA
8,Austria
43,Japan
8,Finland
29,France
21,Spain
49,United Kingdom
30,France
36,Italy
38,China
5,South Africa
10,India
37,Italy
22,Spain
1,Lebanon
50,United Kingdom
39,China
1,Slovak Republic
23,Spain
195,USA
20,Australia
13,Netherlands
38,Italy
47,Germany
51,United Kingdom
24,Spain
52,United Kingdom
6,Greece
53,United Kingdom
1,Iran
54,United Kingdom
31,France
7,Israel
39,Italy
2,Czech Republic
40,Italy
2,Saudi Arabia
40,China
41,China
55,United Kingdom
9,Taiwan
25,Spain
196,USA
5,Ireland
197,USA
44,Japan
11,India
9,Austria
3,Czech Republic
198,USA
199,USA
200,USA
56,United Kingdom
32,France
45,Japan
201,USA
4,Czech Republic
4,Turkey
1,Serbia
46,Japan
47,Japan
57,United Kingdom
8,Belgium
4,Hungary
48,Japan
9,Belgium
26,Spain
9,Finland
49,Japan
50,Japan
27,Spain
48,Germany
33,France
10,Belgium
5,Turkey
10,Austria
2,Argentina
41,Italy
202,USA
42,Italy
203,USA
42,China
34,France
21,Australia
204,USA
11,Austria
205,USA
4,Russia
24,South Korea
10,Taiwan
9,Switzerland
51,Japan
52,Japan
206,USA
207,USA
53,Japan
35,France
43,Italy
208,USA
28,Spain
2,Iran
36,France
25,South Korea
54,Japan
37,France
55,Japan
43,China
56,Japan
44,China
12,India
209,USA
6,Turkey
57,Japan
26,Canada
4,Poland
45,China
58,United Kingdom
49,Germany
2,Mexico
50,Germany
46,China
5,Norway
210,USA
1,Lithuania
211,USA
51,Germany
212,USA
47,China
1,Egypt
38,France
58,Japan
29,Spain
59,Japan
52,Germany
44,Italy
11,Taiwan
48,China
3,Chile
26,South Korea
12,Taiwan
30,Spain
213,USA
49,China
22,Australia
27,South Korea
28,South Korea
59,United Kingdom
23,Australia
39,France
45,Italy
3,Thailand
5,Hungary
2,Slovenia
60,United Kingdom
40,France
214,USA
61,United Kingdom
215,USA
8,Brazil
60,Japan
50,China
24,Australia
62,United Kingdom
41,France
216,USA
217,USA
29,South Korea
218,USA
27,Canada
7,Turkey
61,Japan
62,Japan
63,Japan
31,Spain
8,Turkey
6,Ireland
219,USA
1,Bulgaria
51,China
3,Saudi Arabia
12,Austria
32,Spain
220,USA
13,India
9,Turkey
7,Ireland
3,Iran
64,Japan
221,USA
53,Germany
52,China
42,France
30,South Korea
28,Canada
65,Japan
66,Japan
53,China
13,Taiwan
54,China
66,Uruguay
31,South Korea
1,Uganda
29,Canada
55,China
33,Spain
25,Australia
63,United Kingdom
14,Taiwan
54,Germany
56,China
32,South Korea
43,France
44,France
45,France
26,Australia
57,China
222,USA
64,United Kingdom
58,China
67,Japan
59,China
60,China
5,Poland
14,India
6,Hungary
223,USA
34,Spain
61,China
46,France
224,USA
33,South Korea
62,China
68,Japan
225,USA
55,Germany
69,Japan
63,China
7,Greece
226,USA
30,Canada
70,Japan
71,Japan
31,Canada
6,Poland
4,Iran
227,USA
5,Iran
9,Brazil
15,Taiwan
32,Canada
10,Brazil
46,Italy
11,Brazil
7,Poland
47,Italy
15,India
64,China
16,India
72,Japan
35,Spain
1,Cyprus
228,USA
36,Spain
6,Iran
16,Taiwan
3,Argentina
12,Brazil
37,Spain
229,USA
6,New Zealand
65,United Kingdom
13,Brazil
38,Spain
14,Brazil
27,Australia
65,China
8,Poland
73,Japan
17,Taiwan
66,China
67,China
68,China
1,United Arab Emirates
34,South Korea
35,South Korea
69,China
10,Turkey
70,China
7,Iran
71,China
8,Iran
39,Spain
4,Chile
15,Brazil
1,Puerto Rico
72,China
9,Poland
2,Egypt
47,France
18,Taiwan
2,Colombia
73,China
74,Japan
19,Taiwan
74,China
36,South Korea
16,Brazil
75,China
76,China
77,China
48,France
20,Taiwan
5,Czech Republic
8,Ireland
78,China
21,Taiwan
79,China
5,Russia
1,Romania
2,Romania
3,Egypt
49,France
80,China
81,China
17,Brazil
82,China
33,Canada
4,Saudi Arabia
7,Portugal
4,Egypt
18,Brazil
40,Spain
83,China
